class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002147,coal mine lake sediment,,,Coal mine lake sediment is lake sediment which covers the bottom of a coal mine lake.,,,,,,,,ENVO_00000546,lake,porous|granular|porosity,,,,,,,sedimentation in a water body|material accumulation process,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|coal mine lake sediment|lake sediment,,lake,sedimentation in a water body|material accumulation process,,,,sedimentation in a water body|material accumulation process,,
ENVO_00002148,coarse beach sand,,,,,,,,,,,ENVO_00002138,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,granular,,sand|coarse beach sand|beach sand,,shore|beach|coast|sandy beach|landform|surface landform,,shore|beach|coast|sandy beach|landform|surface landform,shore|beach|coast|sandy beach|landform|surface landform,,,,
ENVO_00002149,sea water,,This definition refers to water that is actually in a sea or ocean. This water may have a wide range of salinity levels.,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,"When we have more classes representing the various processes which make seawater seawater, we can further axiomatise this class.",,ocean water; seawater,,,,,ENVO_00002010,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|sea water,,marine water body|hydrosphere|saline water body|salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,marine water body|hydrosphere|saline water body|salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,marine water body|hydrosphere|saline water body,,,,
ENVO_00002150,coastal sea water,,"The limits of what qualifies as ""adjacent to"" vary greatly. This should be defined on a data level and is left intentionally fuzzy here. The label is ""coastal sea water"" rather than ""coastal water"" as some large lakes are often said to have coasts.",Coastal sea water is sea water that is adjacent to a coast.,,coastal water,coastal ocean water; coastal oceanic water; coastal seawater,,,,envoPolar,ENVO_00002149,coast|sea coast,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|sea water|coastal sea water,,coast|marine water body|hydrosphere|saline water body|salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom|sea coast,,marine water body|hydrosphere|saline water body|salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,marine water body|hydrosphere|saline water body,,,,
ENVO_00002154,radioactive sediment,,,,,,,,,,,ENVO_00002114,,porous|granular|porosity|radioactive|activity (of a radionuclide),,,,,,,,porous|porosity|granular|radioactive|activity (of a radionuclide),,,,,porous|porosity|granular|radioactive|activity (of a radionuclide),,sediment|radioactive sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002155,high-level radioactive sediment,,,,,,,,,,,ENVO_00002154,,porous|granular|porosity|radioactive|activity (of a radionuclide),,,,,,,,porous|porosity|granular|radioactive|activity (of a radionuclide),,,,,porous|porosity|granular|radioactive|activity (of a radionuclide),,sediment|high-level radioactive sediment|radioactive sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002158,ditch water,,,,,,,,,,,ENVO_01000813; ENVO_00002011,,,,,,,,,,,,,,,,,liquid water|fresh water|ditch water,,construction|depressed landform|human construction|landform|technosphere|artificial channel|ditch|channel of a watercourse,,construction|depressed landform|human construction|landform|technosphere|artificial channel|ditch|channel of a watercourse,construction|depressed landform|human construction|landform|technosphere|artificial channel|ditch|channel of a watercourse,,,,
ENVO_00002159,drilling bore water,,,,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|drilling bore water,,,,,,,,,
ENVO_00002160,estuarine mud,,,Mud which is part of an estuary.,,,,,,,,ENVO_01000813; ENVO_01000001,,,,,,,,,,,,,,soil|liquid water|clay|sand|silt,,,mud|estuarine mud,,soil|estuary|hydrosphere|pedosphere|clay|sand|liquid water|silt,,soil|estuary|hydrosphere|pedosphere|clay|liquid water|sand|silt,estuary|hydrosphere,,,,
ENVO_00002164,fossil material,,,A solid environmental material which is formed by the replacement of organic substances (including those in soils and sediments) with mineral material.,,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,ENVO_01000814,,,,,,,,,fossilization of organic material,,,,,,,,fossil material,,,fossilization of organic material,,,,fossilization of organic material,,
ENVO_00002170,compost,,,Manure which has been derived from the aerobically decomposed remnants of organic materials.,,,,,,,,ENVO_03501300,,,,,,,,,,,,,,,,,compost|manure,,,,,,,,,
ENVO_00002171,hay compost,,,,,,,,,,,ENVO_00002170,,,,,,,,,,,,,,,,,compost|manure|hay compost,,,,,,,,,
ENVO_00002176,contaminated sludge,,,,,,,,,,,ENVO_00002044,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|contaminated sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002177,"1,4-dioxane contaminated sludge",,,,,,,,,,,ENVO_00002176,,,,,,,,,anthropogenic environmental process,,,,volatile organic compound|dioxane|dioxanes,volatile organic compound|dioxanes|dioxane,,,sludge|contaminated sludge,,volatile organic compound|dioxane|dioxanes,anthropogenic environmental process,volatile organic compound|dioxanes|dioxane,,,anthropogenic environmental process,,
ENVO_00002179,intertidal sediment,,,,,,,,,,,ENVO_00002007,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|intertidal sediment,,,,,,,,,
ENVO_00002180,naphthalene enriched sediment,,,Organically enriched sediment which has increased levels of naphthalene.,,,,,,,,ENVO_00002202,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,aromatic compound|organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|naphthalenes|ortho-fused bicyclic hydrocarbon|ortho-fused bicyclic arene,organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|aromatic compound|naphthalenes|ortho-fused bicyclic arene|ortho-fused bicyclic hydrocarbon,porous|porosity|granular,,sediment|naphthalene enriched sediment|organically enriched sediment|chemically contaminated sediment|chemically enriched sediment,,aromatic compound|organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|naphthalenes|ortho-fused bicyclic hydrocarbon|ortho-fused bicyclic arene,,organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|aromatic compound|naphthalenes|ortho-fused bicyclic arene|ortho-fused bicyclic hydrocarbon,,,,,
ENVO_00002182,nitrobenzene enriched sediment,,,Organically enriched sediment which has increased levels of nitrobenzene.,,,,,,,,ENVO_00002202,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,aromatic compound|organic aromatic compound|benzenes,organic aromatic compound|benzenes|aromatic compound,porous|porosity|granular,,sediment|nitrobenzene enriched sediment|organically enriched sediment|chemically enriched sediment,,aromatic compound|organic aromatic compound|benzenes,,organic aromatic compound|benzenes|aromatic compound,,,,,
ENVO_00002186,contaminated water,,,,,,polluted water,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|contaminated water,,,,,,,,,
ENVO_00002191,animal litter,,,Straw or other material strewn in an animal's enclosure (e.g. a stable) for it to sleep on and to absorb its faeces and urine.,,,,,,,,ENVO_00010483,,,,,,,,,,,,,,,,,animal litter,,,,,,,,,
ENVO_00002192,poultry litter,,,,,,,,,,,ENVO_00002191,,,,,,,,,,,,,,,,,animal litter|poultry litter,,,,,,,,,
ENVO_00002193,pulp-bleaching waste water,,,,,,,,,,,ENVO_00002001,,waste role,,,,,,,,waste role,,,,,,waste role,liquid water|waste material|waste water|contaminated water|pulp-bleaching waste water,,,,,,,,,
ENVO_00002194,oil field production water,,,,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|oil field production water,,,,,,,,,
ENVO_00002200,sea ice,,"In the United States, NOAA sea ice operations does not include superstructure icing as being sea ice. In sea ice operations however, sea ice is any form of ice found at sea which has originated from the freezing of sea water. It presents the main kind of floating ice encountered at sea. Except where it forms ridges, sea ice is up to a few metres thick, in which respect it differs from shelf ice.  Sea ice may be discontinuous pieces (ice floes) moved on the ocean surface by wind and currents (pack ice), or a motionless sheet attached to the coast (land-fast ice). In brief, it forms first as lolly ice (frazil crystals), thickens into sludge, and coagulates into sheet ice, pancake ice, or into floes of various shapes and sizes. Thereafter, sea ice may develop into pack ice and/or become a form of pressure ice.  Sea ice less than one year old is called first-year ice. Perennial ice is sea ice that survives at least one summer. It may be subdivided into second-year ice and multi-year ice, where multiyear ice has survived at least two summers.",Water ice which has formed by the freezing of sea water.,Parse comment from GCW and new subclases where appropriate.,,,,,,envoPolar,ENVO_01001557,,,,,liquid water|saline water|sea water,,,,freezing|freezing of water into water ice,,,,,,,,sea ice|water ice|ice,,,freezing of water into water ice|freezing,,,,freezing|freezing of water into water ice,,
ENVO_00002201,cis-dichloroethane contaminated sediment,,,Organically enriched sediment which has increased levels of cis-dichloroethane.,,,,,,,,ENVO_00002202,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|cis-dichloroethane contaminated sediment|organically enriched sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002202,organically enriched sediment,,,Chemically-enriched sediment which has increased levels of organic compounds.,,,,,,,,ENVO_00002114,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|organically enriched sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002203,inorganically enriched sediment,,,Chemically-enriched sediment which has increased levels of inorganic compounds.,,,,,,,,ENVO_00002114,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|inorganically enriched sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002206,coal mine waste material,,,,,coal mine waste,,,coal refuse,,,ENVO_01000813; ENVO_00002267,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|coal mine waste material|industrial waste material,,coal mine|construction|mine|human construction|technosphere,,coal mine|construction|mine|human construction|technosphere,coal mine|construction|mine|human construction|technosphere,,,,
ENVO_00002207,self-heating coal mine waste material,,,,,self-heating coal mine waste,,,,,,ENVO_00002206,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|coal mine waste material|industrial waste material|self-heating coal mine waste material,,coal mine|construction|mine|human construction|technosphere,,coal mine|construction|mine|human construction|technosphere,coal mine|construction|mine|human construction|technosphere,,,,
ENVO_00002209,saline lake sediment,,,Saline lake sediment is sediment which covers the bottom of a saline lake.,,,,,soda lake sediment,,,ENVO_00000546,lake|saline water body|saline lake,porous|granular|porosity,,,,,,,sedimentation in a water body|material accumulation process,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|saline lake sediment|lake sediment,,lake|saline water body|saline lake,sedimentation in a water body|material accumulation process,,,,sedimentation in a water body|material accumulation process,,
ENVO_00002212,thermophilic granular sludge,,,,,,,,,,,ENVO_00002044,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|thermophilic granular sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002223,oligotrophic water,,,Water which has very low concentrations of nutrients.,,,,,,,,ENVO_00002006,,decreased quality|decreased concentration,,,,,,,,decreased quality|decreased concentration,,,,,decreased quality|decreased concentration,,liquid water|oligotrophic water,,,,,,,,,
ENVO_00002224,eutrophic water,,,Water with a high nutrient level.,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|eutrophic water,,,,,,,,,
ENVO_00002225,mesotrophic water,,,Water with a nutrient level intermediate between eutrophic and oligotrophic.,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|mesotrophic water,,,,,,,,,
ENVO_00002228,pond water,,,,,,,,,,,ENVO_01000813; ENVO_00002011,,,,,,,,,,,,,,,,,liquid water|fresh water|pond water,,hydrosphere|pond,,hydrosphere|pond,hydrosphere|pond,,,,
ENVO_00002229,arenosol,,,"Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands.",,,psamment; sandy soil,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|arenosol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002230,anthrosol,,,"Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation.",,,,,,,,ENVO_0010001; ENVO_00001998,,porous|porosity,,,,,,,anthropisation|anthropogenic environmental process,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|anthrosol,,pedosphere|sand|clay|silt,anthropisation|anthropogenic environmental process,pedosphere|clay|sand|silt,pedosphere,,anthropisation|anthropogenic environmental process,,
ENVO_00002231,alisol,,,"Alisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Alisols have a low base saturation at certain depths and high-activity clays throughout the argic horizon. They lack the albeluvic tonguing as in Albeluvisols. They occur predominantly in humid tropical, humid subtropical and warm temperate regions.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|alisol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002232,andosol,,,"Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|andosol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002233,albeluvisol,,,"Albeluvisols are soils that have, beginning within 1 m of the soil surface, a clay illuviation horizon with an irregular or broken upper boundary resulting in tonguing of bleached soil material into the illuviation horizon.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|albeluvisol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002234,acrisol,,,Acrisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Acrisols have in certain depths a low base saturation and low-activity clays.,,,,,,,,ENVO_01001397,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|acrisol|ultisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002235,cambisol,,,"Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|cambisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002236,cryosol,,,"Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes.",,,,,gelisol,,envoPolar,ENVO_01001526,,porous|porosity|frozen,,,,,,,,porous|porosity|frozen,,,,clay|sand|silt,porous|porosity|frozen,,soil|frozen soil|cryosol,,permafrost|frozen land|pedosphere|clay|sand|silt,,permafrost|frozen land|pedosphere|clay|sand|silt,permafrost|pedosphere|frozen land,,,,
ENVO_00002237,chernozem,,,Chernozems are soils with a thick black surface layer that is rich in organic matter.,,,,,black earth; boroll,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|chernozem,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002238,durisol,,,"Durisols are associated mainly with old surfaces in arid and semi-arid environments and accommodate very shallow to moderately deep, moderately well- to well-drained soils that contain cemented secondary silica (SiO2) within 100 cm of the soil surface.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|durisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002239,calcisol,,,Calcisols are soils in which there is substantial secondary accumulation of lime. Calcisols are common in highly calcareous parent materials and widespread in arid and semi-arid environments.,,,calcarosol,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|calcisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002240,kastanozem,,,"Kastanozems are dry grassland soils, among them the zonal soils of the short-grass steppe belt, south of the Eurasian tall-grass steppe belt with Chernozems. Kastanozems have a similar profile to that of Chernozems but the humus-rich surface horizon is thinner and not as dark as that of the Chernozems and they show more prominent accumulation of secondary carbonates.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|kastanozem,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
