class,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_01000020,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|estuarine biome|marine ecosystem,marine water body,marine water body
ENVO_01000022,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|marine salt marsh biome|marine ecosystem,marine water body,marine water body
ENVO_01000023,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000024,marine water body,,,aquatic biome|marine environment|marine biome|marine benthic biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000025,marine water body,,,aquatic biome|marine environment|marine biome|marine benthic biome|marine neritic benthic zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000026,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine biome|marine bathyal zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000027,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine biome|marine abyssal zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000028,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine biome|marine hadal zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000029,marine reef|marine water body|reef,,,aquatic biome|marine environment|marine benthic biome|marine reef biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000030,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine hydrothermal vent biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000032,marine water body,,,aquatic biome|marine environment|neritic pelagic zone biome|marine biome|marine pelagic biome|aquatic ecosystem|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000033,marine water body,,,aquatic biome|marine environment|oceanic pelagic zone biome|marine biome|marine pelagic biome|aquatic ecosystem|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000034,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic sea surface microlayer biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000035,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic epipelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000036,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic mesopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000037,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic bathypelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000038,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic abyssopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000039,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic hadal pelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000040,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic benthopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000041,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|neritic pelagic zone biome|neritic sea surface microlayer biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000042,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|neritic pelagic zone biome|neritic epipelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000043,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|neritic pelagic zone biome|neritic mesopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000045,marine water body,,,aquatic biome|marine environment|marine biome|epeiric sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000046,marine water body,,,aquatic biome|marine environment|marine biome|marginal sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000047,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|mediterranean sea biome|marine biome|subtropical environment|subtropical biome|mediterranean biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
