ols,count
establishment of localization,4
manganese group element atom,4
cerebrospinal fluid,4
blood circulation,4
sense organ,4
waste water,4
lymphoid system,4
visual system,4
eyeball of camera-type eye,4
methyl cellulose,4
orbital region,4
urine,4
beta-D-glucan,4
vomit,4
root primordium,4
inorganic peroxide,4
regurgitated substance,4
freshwater ice,4
Protostomia,4
amorphous solid,4
aluminosilicate mineral,4
grassland ecosystem,4
pus,4
mucus,4
camera-type eye,4
eye,4
chyle,4
sensory system,4
chyme,4
immune system,4
mammary gland fluid/secretion,4
soybean oil,4
pleural fluid,4
resin,4
tissue morphogenesis,3
animal-associated environment,3
human settlement,3
anatomical structure formation involved in morphogenesis,3
rubber particle,3
environment associated with an animal part or small animal,3
sulfuric acid,3
hypersaline water,3
environmental system determined by an organism,3
fecal material,3
titanium group molecular entity,3
titanium group element atom,3
dicarboxylic acid,3
carbon dioxide emission process,3
sulfur oxoacid,3
aeolian transport process,3
powdery snow,3
cholanoid,3
copper(II) phthalocyanine,3
"propane-1,2-diol",3
shoot apical meristem,3
shoot axis,3
titanium atom,3
upland soil,3
liquefied hydrocarbon gas,3
anatomical space,3
brain,3
organic salt,3
stem cell,3
barium molecular entity,3
biladienes,3
dicarboxylic acids and O-substituted derivatives,3
titanium molecular entity,3
bilirubin IXalpha,3
cyclic tetrapyrrole,3
grassland soil,3
carbon-bearing gas emission process,3
piece of gravel,3
dust from plant parts,3
central nervous system,3
desert,3
root system,3
aquatic ecosystem,3
slope,3
continental shelf,3
gasoline,3
diesel fuel,3
precursor cell,3
progenitor cell,3
hematopoietic precursor cell,3
connective tissue cell,3
nucleate cell,3
hematopoietic oligopotent progenitor cell,3
hematopoietic lineage restricted progenitor cell,3
myeloid lineage restricted progenitor cell,3
hematopoietic multipotent progenitor cell,3
erythroblast,3
somatic stem cell,3
angioblastic mesenchymal cell,3
reticulocyte,3
orthochromatic erythroblast,3
planetary erosion,3
fuel oil,3
industrial waste material,3
marine ecosystem,3
colloidal suspension,3
mafic lava,3
tropical environment,3
stormwater,3
lignite,3
phyllome anlagen,3
phyllome primordium,3
apical meristem,3
shoot system meristem,3
cell culture,3
gill tissue material,3
contaminated sludge,3
lake bed,3
lake sediment,3
peripheral zone,3
shoot axis apex,3
meadow ecosystem,3
volatile astrogeological material,3
rubber plantation,3
regional part of nervous system,3
anatomical wall,3
aquatic biome,3
clay loam,3
marine environment,3
marine biome,3
desalination process,3
wastewater treatment process,3
submerged bed,3
bitumous coal,3
sub-bitumous coal,3
plain,3
soda-lime glass,3
choroid plexus,3
brain ventricle,3
wetland ecosystem,3
liquid layer,3
vanadium group molecular entity,3
f-block molecular entity,3
anthropogenic ecosystem conversion process,3
liquid surface layer,3
fossilization of organic material,3
fluid surface layer,3
fluid interface layer,3
shrimp pond,3
explosive eruption,3
atmospheric layer,3
troposphere,3
dacitic lava,3
slate,3
intermediate lava,3
telencephalic ventricle,3
vasculature,3
blood cell,3
erythrocyte,3
oxygen accumulating cell,3
viability,3
laminar,3
physical quality of a process,3
forebrain,3
epithelial tube,3
cardiovascular system,3
particulate organic matter,3
vascular system,3
marine sediment,3
artificial channel,3
freshwater congelation ice,3
glacial erosion process,3
swamp ecosystem,3
system development,3
alluvial soil,3
garden soil,3
abyssal plain,3
animal litter,3
river,3
chordate embryonic development,3
fibrous dust,3
ditch,3
mountain,3
channel of a watercourse,3
brackish estuary,3
allotment garden,3
aquatic layer,3
water surface,3
vascular plexus,3
tela choroidea,3
head mesenchyme,3
future telencephalon,3
brain ventricle/choroid plexus,3
dye,3
metallotetrapyrrole,3
tube development,3
unstructured,3
increased concentration,3
chalcogen oxoacid,3
microbial community,3
alpine,3
altitudinal condition,3
Haplorrhini,3
Catarrhini,3
calcium atom,3
dead,3
continuous,3
alkaline,3
broken,3
calcium ion,3
first year ice formation process,3
second year ice formation,3
multiyear ice formation process,3
linear tetrapyrrole,3
hydrocarbon gas emission process,3
brown,3
neural tube development,3
electron donor,3
chromium group element atom,3
environmental contaminant,3
environmental condition,3
biophysical role,3
uranium atom,3
vanadium atom,3
gold atom,3
actinoid atom,3
vanadium group element atom,3
actinoid molecular entity,3
blue,3
f-block element atom,3
homopolymer macromolecule,3
metallophthalocyanines,3
dense settlement biome,3
urban biome,3
phthalocyanines,3
cyclic polypyrrole,3
phyllome,3
hematopoietic stem cell,3
erythroid progenitor cell,3
multi fate stem cell,3
neurula stage,3
tube,3
telencephalon,3
neural rod,3
ventricular system of central nervous system,3
neural keel,3
propanediol,3
embryonic epithelial tube formation,3
monounsaturated fatty acid,3
choroid plexus of lateral ventricle,3
common myeloid progenitor,3
regional part of brain,3
anatomical conduit,3
organ component layer,3
future brain,3
future forebrain,3
vasculature of organ,3
vasculature of central nervous system,3
ventricular system of brain,3
tube morphogenesis,3
tube formation,3
nervous system development,3
neural tube,3
megakaryocyte-erythroid progenitor cell,3
mesenchymal stem cell,3
proerythroblast,3
basophilic erythroblast,3
polychromatophilic erythroblast,3
24G7 epitope,3
organic sodium salt,3
calcium cation,3
dense settlement,3
barium atom,3
temporal distribution quality,3
poly(isoprene) macromolecule,3
poly(alkylene vinylene) macromolecule,3
"cis-1,4-polyisoprene",3
epithelium development,3
epithelial tube morphogenesis,3
epithelial tube formation,3
greenhouse gas,3
process quality,3
early prosencephalic vesicle,3
aluminium oxides,3
multi-species collection of microbes,3
isoprenoid,3
terpene,3
hyaluronic acid,3
3-oxo-Delta(4)-steroid group,3
exopolysaccharide,3
uranium molecular entity,3
squalene,3
gold molecular entity,3
monoatomic dication,3
aluminium oxide,3
proteolytic cleavage product,3
zinc dichloride,3
casein derived peptide,3
biological role,3
biological pigment,3
vanadium molecular entity,3
chromium atom,3
carbon oxoanion,3
calcium(2+),3
long-chain fatty acid,3
kaolinite,3
copper coordination entity,3
straight-chain saturated fatty acid,3
metallophthalocyanine,3
straight-chain fatty acid,3
triterpene,3
octadecenoic acid,3
octadecadienoic acid,3
linolenic acid,3
divalent metal cation,3
leaf,3
octadecanoid,3
olefinic fatty acid,3
trienoic fatty acid,3
titanium oxides,3
fatty acid 18:1,3
fatty acid 18:2,3
copper tetrapyrrole,3
divalent inorganic cation,3
fatty acid,3
titanium dioxide,3
diatomaceous earth,3
oleic acid,3
octadecanoic acid,3
metal oxide,3
alpha-linolenic acid,3
linoleic acid,3
saline lake,3
grassland area,3
carbonate,3
sea coast,3
Mammalia,3
bile acid salt,3
omega-6 fatty acid,3
Primates,3
Homo sapiens,3
polyunsaturated fatty acid,3
essential fatty acid,3
saturated fatty acid,3
omega-3 fatty acid,3
unsaturated fatty acid,3
fatty acid 18:3,3
hexadecanoic acid,3
donor,3
octadecatrienoic acid,3
bile salt,3
1-hydroxyethyl group,3
elemental calcium,3
alkaline earth cation,3
proteinogenic amino-acid side-chain group,3
Boreoeutheria,3
Eutheria,3
Homo,3
Homininae,3
Hominidae,3
Euarchontoglires,3
Simiiformes,3
Hominoidea,3
wholeness,3
occurrence,3
